"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1996-01-23","0.10",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-26","0.29",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-28","0.11",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-29","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-30","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-31","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-04","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-06","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-07","0.02",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-08","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-15","0.02",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-16","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-18","0.03",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-19","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-23","0.02",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-25","0.20",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-26","0.21",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-27","0.06",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-28","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-02-29","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-04","0.18",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-06","0.30",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-08","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-15","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-16","0.00",,,,,
